2011 census ks608ew to ks610ew - occupation by sex,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 15 April 2013],,,,,,,,,,
,,,,,,,,,,
population,All usual residents aged 16 to 74 in employment the week before the census,,,,,,,,,
units,Persons,,,,,,,,,
date,2011,,,,,,,,,
,,,,,,,,,,
Area,All categories: Occupation,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
ualad09:Liverpool,"196,630","15,005","34,400","22,029","24,977","17,627","20,742","20,772","14,601","26,477"
ualad09:Sefton,"121,919","11,967","19,587","14,187","17,625","12,867","13,154","11,775","8,272","12,485"
ualad09:St. Helens,"78,580","6,896","11,526","8,570","9,323","9,228","8,586","7,187","7,162","10,102"
ualad09:Wirral,"139,929","13,034","24,738","16,816","18,013","15,208","15,277","11,971","10,685","14,187"
ualad09:East Riding of Yorkshire,"158,757","19,073","25,851","18,198","17,718","21,761","15,246","12,083","11,767","17,060"
"ualad09:Kingston upon Hull, City of","110,903","7,306","11,612","10,389","11,021","15,530","11,576","12,620","12,531","18,318"
ualad09:North East Lincolnshire,"70,776","5,839","7,346","6,830","7,205","9,163","7,347","6,659","10,521","9,866"
ualad09:North Lincolnshire,"78,101","7,654","9,522","7,504","7,681","10,703","7,461","6,081","10,047","11,448"
ualad09:York,"98,721","10,375","19,864","11,950","10,260","9,902","8,993","10,228","5,587","11,562"
ualad09:Craven,"27,600","3,512","5,068","3,066","2,727","4,494","2,403","1,679","1,751","2,900"
