2011 census qs407ew - number of rooms,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,
,,,,,,,,,,
population,All occupied household spaces,,,,,,,,,
units,Household spaces,,,,,,,,,
date,2011,,,,,,,,,
,,,,,,,,,,
Area,All categories: Number of rooms,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
uacounty09:East Sussex,"231,905","1,621","6,318","23,611","47,404","54,523","40,082","23,705","15,994","18,647"
uacounty09:Hampshire,"545,254","1,915","10,997","43,742","88,660","124,924","108,937","66,875","46,383","52,821"
uacounty09:Kent,"605,638","2,749","15,655","57,131","109,195","150,397","118,473","64,682","41,422","45,934"
uacounty09:Oxfordshire,"258,855","1,479","6,982","21,379","43,059","56,990","50,445","31,286","21,534","25,701"
uacounty09:Surrey,"455,791","2,258","11,939","42,797","77,060","89,340","82,755","54,173","39,825","55,644"
uacounty09:West Sussex,"345,614","2,267","9,398","34,246","64,370","81,407","65,360","37,784","24,260","26,522"
uacounty09:Bath and North East Somerset,"73,515",496,"2,090","7,362","11,970","15,646","14,666","8,972","5,845","6,468"
uacounty09:Bournemouth,"82,374","2,092","5,006","12,103","21,508","14,428","12,575","7,163","4,032","3,467"
"uacounty09:Bristol, City of","182,747","2,614","9,587","24,733","33,949","45,556","36,776","14,893","7,608","7,031"
uacounty09:Cornwall,"230,389","1,075","5,384","17,822","42,847","57,636","44,933","26,556","17,223","16,913"
uacounty09:Isles of Scilly,989,20,74,109,179,186,188,98,66,69
uacounty09:North Somerset,"88,227",426,"1,887","7,295","16,047","18,072","16,886","11,503","7,979","8,132"
uacounty09:Plymouth,"109,307",738,"3,731","13,680","22,669","27,203","22,014","10,143","5,046","4,083"
uacounty09:Poole,"63,530",308,"1,244","6,339","13,917","15,694","11,712","6,676","4,110","3,530"
uacounty09:South Gloucestershire,"107,538",275,"1,890","7,346","16,244","26,466","24,417","13,869","9,077","7,954"
uacounty09:Swindon,"88,360",420,"2,466","8,736","16,412","22,540","17,650","9,323","5,862","4,951"
uacounty09:Torbay,"59,010",593,"2,194","6,559","13,063","14,240","10,605","5,491","3,302","2,963"
uacounty09:Wiltshire,"194,194",548,"3,334","12,081","32,860","42,363","38,169","24,310","18,095","22,434"
uacounty09:Devon,"322,644","1,296","6,839","25,490","59,293","75,511","61,177","37,849","25,634","29,555"
uacounty09:Dorset,"180,213",548,"3,388","13,459","33,061","42,845","35,333","21,849","14,489","15,241"
uacounty09:Gloucestershire,"254,615","1,092","5,910","21,162","43,948","57,458","49,770","30,687","20,949","23,639"
uacounty09:Somerset,"226,989",785,"4,324","17,133","38,340","51,572","45,531","27,932","19,460","21,912"
uacounty09:Anglesey,"30,594",44,286,"1,522","4,677","7,771","6,938","4,060","2,595","2,701"
uacounty09:Gwynedd,"52,473",187,799,"3,035","8,738","12,846","11,792","6,540","4,174","4,362"
uacounty09:Conwy,"51,177",155,797,"4,294","10,061","11,511","10,568","5,933","3,824","4,034"
uacounty09:Denbighshire,"40,546",103,615,"2,709","7,992","9,672","8,306","4,745","3,157","3,247"
uacounty09:Flintshire,"63,781",97,578,"3,629","8,778","17,619","15,549","7,920","5,057","4,554"
uacounty09:Wrexham,"57,029",159,692,"4,019","10,561","14,852","12,846","6,347","3,930","3,623"
uacounty09:Powys,"58,345",116,833,"3,150","8,654","13,114","12,179","8,074","5,763","6,462"
uacounty09:Ceredigion,"31,562",135,684,"2,089","4,732","6,326","6,220","4,503","3,333","3,540"
uacounty09:Pembrokeshire,"53,122",174,786,"3,207","8,293","12,375","11,597","7,015","4,804","4,871"
uacounty09:Carmarthenshire,"78,829",149,786,"3,919","10,665","18,381","19,598","11,088","7,137","7,106"
uacounty09:Swansea,"103,497",539,"2,228","8,492","19,344","25,844","22,589","11,621","6,914","5,926"
uacounty09:Neath Port Talbot,"60,393",149,643,"3,334","8,689","16,221","18,042","7,136","3,566","2,613"
uacounty09:Bridgend,"58,515",118,665,"3,001","9,164","15,481","14,500","7,431","4,491","3,664"
uacounty09:The Vale of Glamorgan,"53,505",131,803,"3,625","8,282","11,822","11,307","7,044","4,894","5,597"
uacounty09:Cardiff,"142,557","1,269","6,219","16,811","25,337","26,465","30,847","17,063","10,013","8,533"
