2011 census ks209ew - religion,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 9 May 2013],,,,,,,,,,,
,,,,,,,,,,,
population,All usual residents,,,,,,,,,,
units,Persons,,,,,,,,,,
date,2011,,,,,,,,,,
,,,,,,,,,,,
Area,All categories: Religion,Has religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
ualad09:County Durham,"513,242","375,599","369,715","1,001",607,208,"1,934",609,"1,525","107,281","30,362"
ualad09:Hartlepool,"92,028","65,642","64,349",152,168,9,689,97,178,"20,507","5,879"
ualad09:Middlesbrough,"138,412","99,084","87,511",370,591,45,"9,757",564,246,"30,797","8,531"
ualad09:Northumberland,"316,028","220,247","216,673",578,335,169,"1,018",494,980,"75,620","20,161"
ualad09:Redcar and Cleveland,"135,177","96,398","95,111",187,64,33,598,43,362,"30,054","8,725"
ualad09:Stockton-on-Tees,"191,610","137,030","130,723",388,675,94,"4,143",625,382,"42,910","11,670"
ualad09:Gateshead,"200,214","140,980","134,075",423,497,"3,004","2,096",356,529,"47,758","11,476"
ualad09:Newcastle upon Tyne,"280,177","183,193","158,138","1,701","3,144",671,"17,561","1,223",755,"79,345","17,639"
ualad09:North Tyneside,"200,801","131,601","128,185",436,513,92,"1,493",354,528,"56,408","12,792"
ualad09:South Tyneside,"148,127","108,264","104,090",223,254,57,"2,854",424,362,"31,247","8,616"
ualad09:Sunderland,"275,506","199,850","193,642",550,607,76,"3,650",814,511,"60,358","15,298"
ualad09:Blackburn with Darwen,"147,489","118,806","77,599",306,574,54,"39,817",161,295,"20,374","8,309"
ualad09:Blackpool,"142,065","98,158","95,426",450,337,252,"1,061",61,571,"34,815","9,092"
ualad09:Cheshire East,"370,127","261,513","254,940",882,"1,328",581,"2,438",279,"1,065","83,973","24,641"
ualad09:Cheshire West and Chester,"329,608","235,540","231,126",776,653,250,"1,686",195,854,"72,649","21,419"
ualad09:Halton,"125,746","95,393","94,314",216,194,44,267,55,303,"23,543","6,810"
ualad09:Warrington,"202,228","149,098","144,405",457,"1,118",147,"2,097",361,513,"41,293","11,837"
ualad09:Allerdale,"96,422","73,386","72,716",183,39,19,192,9,228,"16,677","6,359"
ualad09:Barrow-in-Furness,"69,087","49,442","48,830",150,101,15,172,7,167,"15,252","4,393"
ualad09:Carlisle,"107,524","75,592","74,296",277,241,17,455,27,279,"24,626","7,306"
ualad09:Copeland,"70,603","56,314","55,687",148,81,17,227,8,146,"10,147","4,142"
ualad09:Eden,"52,564","37,645","37,165",130,42,31,115,6,156,"10,882","4,037"
ualad09:South Lakeland,"103,658","71,735","70,541",465,55,104,175,7,388,"23,912","8,011"
ualad09:Bolton,"276,786","213,568","173,608",574,"5,988",174,"32,385",118,721,"47,567","15,651"
ualad09:Bury,"185,060","139,610","116,036",453,817,"10,302","11,279",301,422,"34,381","11,069"
ualad09:Manchester,"503,127","340,868","245,247","3,879","5,452","2,613","79,496","2,292","1,889","127,485","34,774"
ualad09:Oldham,"224,897","176,234","134,167",371,"1,233",108,"39,879",70,406,"36,169","12,494"
ualad09:Rochdale,"211,699","159,374","128,186",403,642,216,"29,426",71,430,"40,014","12,311"
ualad09:Salford,"233,933","167,387","150,111","1,040","1,504","7,687","6,030",324,691,"52,105","14,441"
ualad09:Stockport,"283,275","193,639","179,055",853,"1,666","1,340","9,431",330,964,"71,126","18,510"
ualad09:Tameside,"219,324","154,603","140,322",511,"3,223",89,"9,705",102,651,"51,674","13,047"
ualad09:Trafford,"226,578","164,303","143,639",768,"2,271","2,413","12,994","1,652",566,"47,968","14,307"
ualad09:Wigan,"317,849","251,592","247,223",703,682,71,"2,162",62,689,"48,640","17,617"
ualad09:Burnley,"87,059","64,629","55,399",192,175,14,"8,580",33,236,"17,178","5,252"
ualad09:Chorley,"107,155","82,733","80,732",275,196,45,"1,130",18,337,"18,418","6,004"
ualad09:Fylde,"75,757","57,153","55,843",196,175,322,350,39,228,"13,870","4,734"
ualad09:Hyndburn,"80,734","62,464","53,602",162,70,7,"8,336",38,249,"13,700","4,570"
ualad09:Lancaster,"138,375","94,754","91,124",540,446,119,"1,767",100,658,"33,833","9,788"
ualad09:Pendle,"89,452","64,316","48,043",224,91,36,"15,579",9,334,"19,573","5,563"
ualad09:Preston,"140,202","106,428","85,518",385,"3,338",60,"15,769",930,428,"25,754","8,020"
ualad09:Ribble Valley,"57,132","45,429","44,627",88,99,10,425,41,139,"8,299","3,404"
ualad09:Rossendale,"67,982","46,571","43,392",163,96,67,"2,613",9,231,"17,095","4,316"
ualad09:South Ribble,"109,057","84,308","82,547",206,556,48,592,75,284,"18,487","6,262"
ualad09:West Lancashire,"110,685","85,348","84,337",141,229,62,276,87,216,"19,029","6,308"
ualad09:Wyre,"107,749","81,468","80,346",220,161,69,305,25,342,"19,210","7,071"
ualad09:Knowsley,"145,893","119,119","117,991",165,266,58,435,37,167,"18,439","8,335"
