2011 census qs113ew - household composition - households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
units,Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All categories: Household composition,One person household: Total,One person household: Aged 65 and over,One person household: Other,One family only: Total,One family only: All aged 65 and over,One family only: Married cple: Total,One family only: Married cple: No kids,One family only: Married cple: One dep child,One family only: Married cple: Two or more dep kids,One family only: Married cple: All kids non-dep,One family only: Same-sex civ part cple: Total,One family only: Same-sex civ part cple: No kids,Same-sex civ part cple: One dep child,Same-sex civ part cple: Two plus dep kids,One family only: Same-sex civ part cple: All kids non-dep,One family only: Cohabiting cple: Total,One family only: Cohabiting cple: No kids,One family only: Cohabiting cple: One dep child,One family only: Cohabiting cple: Two or more dep kids,One family only: Cohabiting cple: All kids non-dep,One family only: Lone parent: Total,One family only: Lone parent: One dep child,One family only: Lone parent: Two or more dep kids,One family only: Lone parent: All kids non-dep,Other: Total,Other: With one dep child,Other: With two or more dep kids,Other: All full-time students,Other: All aged 65 and over,Other: Other
ualad09:Aylesbury Vale,"69,406","17,612","7,421","10,191","47,307","5,629","28,362","10,287","5,026","9,065","3,984",86,76,7,1,2,"7,135","4,067","1,355","1,377",336,"6,095","2,268","1,687","2,140","4,487",800,768,85,200,"2,634"
ualad09:Chiltern,"36,946","9,179","4,976","4,203","25,774","4,295","16,003","5,165","2,650","5,791","2,397",46,39,2,3,2,"2,736","1,413",539,624,160,"2,694",887,734,"1,073","1,993",292,348,5,94,"1,254"
ualad09:South Bucks,"26,514","7,136","3,708","3,428","17,460","2,821","10,527","3,409","1,903","3,365","1,850",31,26,2,2,1,"2,054","1,099",420,425,110,"2,027",672,526,829,"1,918",351,432,26,66,"1,043"
ualad09:Wycombe,"67,861","18,138","7,547","10,591","44,266","6,061","26,270","8,921","4,526","8,848","3,975",71,62,4,2,3,"6,078","3,617","1,116","1,079",266,"5,786","2,127","1,649","2,010","5,457",913,"1,039",346,133,"3,026"
ualad09:Eastbourne,"45,012","16,298","7,731","8,567","25,292","4,487","11,930","4,854","2,068","3,221","1,787",97,86,8,3,0,"4,290","2,340",871,872,207,"4,488","1,815","1,282","1,391","3,422",516,371,268,250,"2,017"
ualad09:Hastings,"41,159","15,781","5,404","10,377","22,670","2,710","10,515","4,367","1,896","2,670","1,582",75,64,8,1,2,"4,563","2,392",951,"1,014",206,"4,807","1,937","1,499","1,371","2,708",442,460,57,135,"1,614"
ualad09:Lewes,"42,181","12,744","6,854","5,890","26,837","4,892","13,841","5,522","2,261","3,786","2,272",153,133,11,8,1,"4,017","2,049",857,896,215,"3,934","1,422","1,111","1,401","2,600",429,358,19,202,"1,592"
ualad09:Rother,"40,877","13,889","8,084","5,805","24,891","5,661","12,627","5,909","1,810","2,986","1,922",96,87,6,2,1,"3,249","1,783",628,684,154,"3,258","1,135",963,"1,160","2,097",417,386,1,194,"1,099"
ualad09:Wealden,"62,676","17,279","9,562","7,717","42,136","7,928","23,790","9,632","3,719","6,723","3,716",117,106,5,4,2,"5,260","2,773","1,011","1,201",275,"5,041","1,763","1,416","1,862","3,261",540,553,6,277,"1,885"
ualad09:Basingstoke and Deane,"69,315","18,298","6,890","11,408","46,654","5,493","27,314","10,465","4,989","8,068","3,792",95,79,10,3,3,"7,435","4,287","1,453","1,418",277,"6,317","2,315","1,959","2,043","4,363",792,717,17,115,"2,722"
ualad09:East Hampshire,"47,258","12,182","6,087","6,095","32,489","5,113","19,590","7,565","3,320","5,858","2,847",36,34,1,1,0,"4,011","2,310",733,767,201,"3,739","1,196","1,147","1,396","2,587",420,429,8,181,"1,549"
ualad09:Eastleigh,"52,177","13,934","6,190","7,744","35,219","4,758","20,258","7,517","3,602","5,874","3,265",63,56,5,2,0,"5,445","3,130","1,083",983,249,"4,695","1,744","1,427","1,524","3,024",541,460,23,102,"1,898"
ualad09:Fareham,"46,579","11,814","6,178","5,636","32,339","5,553","18,753","7,328","3,235","5,071","3,119",76,63,7,4,2,"4,179","2,372",782,830,195,"3,778","1,311","1,058","1,409","2,426",464,358,22,142,"1,440"
ualad09:Gosport,"35,430","10,566","4,572","5,994","22,713","3,016","11,798","4,826","1,988","3,194","1,790",42,35,4,2,1,"3,713","1,909",795,833,176,"4,144","1,751","1,242","1,151","2,151",407,345,9,84,"1,306"
ualad09:Hart,"35,510","7,961","3,715","4,246","25,510","3,653","16,187","5,582","2,785","5,435","2,385",40,36,2,2,0,"3,248","1,810",630,640,168,"2,382",757,699,926,"2,039",375,337,0,90,"1,237"
ualad09:Havant,"51,311","14,675","7,470","7,205","33,678","5,836","17,180","6,970","2,783","4,339","3,088",45,33,4,6,2,"4,990","2,368","1,040","1,250",332,"5,627","2,170","1,601","1,856","2,958",578,516,5,190,"1,669"
ualad09:New Forest,"76,839","22,210","12,423","9,787","50,407","10,490","27,348","11,781","4,178","6,936","4,453",92,76,5,10,1,"6,223","3,415","1,223","1,244",341,"6,254","2,273","1,793","2,188","4,222",694,593,8,359,"2,568"
ualad09:Rushmoor,"36,344","9,291","3,410","5,881","23,733","2,183","13,931","4,562","2,841","4,442","2,086",55,46,6,3,0,"4,036","2,245",818,792,181,"3,528","1,354",996,"1,178","3,320",630,649,21,82,"1,938"
ualad09:Test Valley,"47,626","11,855","5,702","6,153","32,972","4,909","19,663","7,924","3,121","5,746","2,872",48,39,6,2,1,"4,429","2,542",801,854,232,"3,923","1,467","1,119","1,337","2,799",505,469,4,120,"1,701"
ualad09:Winchester,"46,865","12,837","6,297","6,540","30,849","4,960","18,580","7,161","3,056","5,973","2,390",60,52,7,0,1,"4,164","2,564",642,782,176,"3,085","1,185",843,"1,057","3,179",424,364,498,154,"1,739"
ualad09:Ashford,"47,787","12,242","5,654","6,588","32,660","4,486","17,979","6,771","3,161","5,303","2,744",59,50,5,4,0,"5,267","2,639","1,148","1,238",242,"4,869","1,652","1,756","1,461","2,885",587,557,7,167,"1,567"
ualad09:Canterbury,"60,771","18,085","8,855","9,230","36,397","6,067","19,024","7,802","3,085","5,243","2,894",107,97,5,4,1,"5,502","3,005","1,084","1,179",234,"5,697","2,080","1,848","1,769","6,289",658,643,"2,174",213,"2,601"
ualad09:Dartford,"40,081","11,643","4,116","7,527","25,957","2,944","13,726","4,479","2,483","4,335","2,429",46,42,2,1,1,"4,686","2,427","1,006","1,018",235,"4,555","1,778","1,348","1,429","2,481",515,498,21,90,"1,357"
ualad09:Dover,"48,310","15,276","7,067","8,209","30,251","4,722","15,835","6,746","2,520","3,938","2,631",72,64,2,1,5,"4,882","2,359","1,076","1,152",295,"4,740","1,662","1,396","1,682","2,783",531,471,6,172,"1,603"
ualad09:Gravesham,"40,431","11,131","4,918","6,213","26,010","3,382","13,978","4,558","2,569","4,181","2,670",36,29,4,3,0,"4,076","1,880",929,"1,014",253,"4,538","1,519","1,485","1,534","3,290",670,805,13,129,"1,673"
ualad09:Maidstone,"63,447","16,452","7,299","9,153","42,938","5,988","23,951","8,985","4,013","7,032","3,921",64,59,2,3,0,"6,760","3,761","1,411","1,307",281,"6,175","2,444","1,811","1,920","4,057",749,656,97,172,"2,383"
ualad09:Sevenoaks,"47,020","12,697","6,386","6,311","32,081","4,876","18,924","6,614","2,986","6,148","3,176",58,50,2,3,3,"4,374","2,325",826,983,240,"3,849","1,204","1,083","1,562","2,242",416,422,6,142,"1,256"
ualad09:Shepway,"47,379","15,791","7,116","8,675","28,515","4,718","14,366","6,061","2,388","3,692","2,225",78,74,2,2,0,"4,752","2,412",972,"1,106",262,"4,601","1,721","1,327","1,553","3,073",575,540,50,180,"1,728"
ualad09:Swale,"55,585","15,128","6,797","8,331","37,249","4,931","19,483","7,723","3,296","5,170","3,294",60,49,8,0,3,"6,540","3,057","1,489","1,639",355,"6,235","2,209","2,261","1,765","3,208",712,660,4,145,"1,687"
ualad09:Thanet,"59,513","20,646","9,649","10,997","35,089","5,650","16,534","7,044","2,703","4,188","2,599",89,81,4,1,3,"5,882","2,804","1,328","1,474",276,"6,934","2,585","2,383","1,966","3,778",737,705,85,279,"1,972"
ualad09:Tonbridge and Malling,"48,140","11,553","5,635","5,918","33,931","4,777","19,376","6,789","3,166","6,367","3,054",54,47,5,1,1,"5,164","2,573","1,055","1,243",293,"4,560","1,606","1,445","1,509","2,656",462,456,2,147,"1,589"
ualad09:Tunbridge Wells,"47,174","13,687","5,818","7,869","30,563","4,034","17,495","5,930","2,961","6,027","2,577",48,41,3,2,2,"5,094","2,979",896,988,231,"3,892","1,336","1,129","1,427","2,924",422,433,18,113,"1,938"
ualad09:Cherwell,"56,728","14,307","5,967","8,340","38,563","4,930","22,135","8,051","3,963","6,755","3,366",86,72,6,4,4,"6,290","3,601","1,182","1,225",282,"5,122","1,758","1,580","1,784","3,858",690,653,42,134,"2,339"
ualad09:Oxford,"55,375","18,316","6,049","12,267","28,042","2,797","14,490","4,897","2,910","4,592","2,091",123,109,3,8,3,"5,092","3,214",790,910,178,"5,540","1,995","1,928","1,617","9,017",816,898,"1,872",141,"5,290"
ualad09:South Oxfordshire,"54,104","13,734","6,570","7,164","37,232","5,695","22,256","7,997","3,668","7,229","3,362",66,55,3,7,1,"5,156","3,019",880,991,266,"4,059","1,323","1,172","1,564","3,138",555,409,13,142,"2,019"
ualad09:Vale of White Horse,"49,407","13,065","5,947","7,118","33,498","5,126","19,937","7,336","3,474","6,068","3,059",73,72,1,0,0,"4,618","2,730",810,889,189,"3,744","1,292","1,087","1,365","2,844",486,399,28,138,"1,793"
ualad09:West Oxfordshire,"43,241","11,412","5,319","6,093","29,499","4,421","17,298","6,680","2,987","5,097","2,534",78,72,4,2,0,"4,393","2,596",771,820,206,"3,309","1,188",934,"1,187","2,330",355,353,15,111,"1,496"
ualad09:Elmbridge,"52,922","14,568","6,743","7,825","35,181","4,561","21,804","6,595","3,989","8,357","2,863",84,79,3,1,1,"4,654","2,776",880,815,183,"4,078","1,466","1,015","1,597","3,173",540,592,26,125,"1,890"
ualad09:Epsom and Ewell,"29,784","7,730","3,746","3,984","19,818","2,721","12,023","3,651","2,182","4,135","2,055",26,22,1,3,0,"2,484","1,366",477,527,114,"2,564",830,664,"1,070","2,236",336,344,178,97,"1,281"
ualad09:Guildford,"53,973","14,422","6,160","8,262","34,702","4,754","21,047","7,358","3,901","6,816","2,972",56,50,2,3,1,"5,042","3,225",842,776,199,"3,803","1,258","1,028","1,517","4,849",514,495,851,142,"2,847"
ualad09:Mole Valley,"35,828","10,477","5,252","5,225","23,511","3,993","14,027","5,012","2,353","4,541","2,121",35,32,2,1,0,"2,937","1,718",534,545,140,"2,519",789,712,"1,018","1,840",296,278,7,118,"1,141"
ualad09:Reigate and Banstead,"55,423","15,163","6,723","8,440","36,840","4,673","21,798","7,309","3,890","7,198","3,401",68,64,2,1,1,"5,751","3,339","1,086","1,083",243,"4,550","1,588","1,249","1,713","3,420",574,548,15,119,"2,164"
ualad09:Runnymede,"32,714","9,836","4,345","5,491","20,056","2,737","11,690","4,116","2,226","3,477","1,871",35,32,2,1,0,"3,000","1,738",546,545,171,"2,594",900,703,991,"2,822",336,315,671,74,"1,426"
ualad09:Spelthorne,"39,512","11,262","5,031","6,231","25,268","3,536","14,208","4,593","2,791","4,078","2,746",51,45,0,4,2,"3,809","2,000",803,780,226,"3,664","1,222",983,"1,459","2,982",513,463,20,136,"1,850"
ualad09:Surrey Heath,"33,546","7,867","3,648","4,219","23,472","3,366","14,561","4,881","2,553","4,824","2,303",34,33,1,0,0,"3,044","1,711",580,557,196,"2,467",750,658,"1,059","2,207",406,459,4,72,"1,266"
ualad09:Tandridge,"33,342","8,909","4,376","4,533","22,441","3,267","13,175","4,626","2,204","4,262","2,083",36,33,3,0,0,"3,282","1,762",651,691,178,"2,681",891,711,"1,079","1,992",361,361,7,130,"1,133"
ualad09:Waverley,"49,280","13,698","7,018","6,680","32,896","5,312","20,091","7,251","3,398","6,765","2,677",56,50,4,1,1,"4,023","2,401",718,735,169,"3,414","1,036",973,"1,405","2,686",370,417,165,132,"1,602"
ualad09:Woking,"39,467","10,499","4,501","5,998","25,747","3,114","15,925","5,112","3,024","5,400","2,389",47,41,6,0,0,"3,726","2,267",631,612,216,"2,935","1,005",796,"1,134","3,221",547,572,27,102,"1,973"
ualad09:Adur,"26,957","8,553","4,461","4,092","16,764","2,828","8,534","3,381","1,428","2,218","1,507",58,50,1,5,2,"2,779","1,451",634,540,154,"2,565",854,761,950,"1,640",278,264,6,132,960
ualad09:Arun,"66,706","22,020","12,230","9,790","40,683","8,829","20,587","8,967","3,278","5,115","3,227",94,86,4,4,0,"5,713","3,156","1,162","1,100",295,"5,460","1,893","1,637","1,930","4,003",694,602,77,367,"2,263"
ualad09:Chichester,"49,848","15,948","8,612","7,336","30,789","6,259","16,856","7,212","2,628","4,609","2,407",56,49,4,1,2,"3,895","2,239",695,762,199,"3,723","1,221","1,072","1,430","3,111",445,390,297,236,"1,743"
ualad09:Crawley,"42,727","12,129","4,468","7,661","26,379","2,617","14,519","4,650","2,847","4,563","2,459",53,45,3,3,2,"4,321","2,282",930,912,197,"4,869","1,794","1,516","1,559","4,219",775,730,14,56,"2,644"
ualad09:Horsham,"54,923","15,476","7,456","8,020","36,679","5,905","21,922","8,419","3,711","6,637","3,155",81,70,5,4,2,"4,838","2,801",902,875,260,"3,933","1,356","1,118","1,459","2,768",445,476,6,176,"1,665"
ualad09:Mid Sussex,"57,409","15,768","7,421","8,347","38,352","5,562","22,974","7,944","3,981","7,432","3,617",101,92,6,2,1,"5,250","3,042",918,"1,061",229,"4,465","1,437","1,215","1,813","3,289",493,500,11,183,"2,102"
ualad09:Worthing,"47,044","16,890","7,460","9,430","27,139","4,261","14,023","5,370","2,516","4,095","2,042",90,78,8,3,1,"4,519","2,576",827,932,184,"4,246","1,601","1,220","1,425","3,015",509,441,49,216,"1,800"
ualad09:Bath and North East Somerset,"73,515","22,535","9,992","12,543","44,593","6,958","24,452","9,293","3,903","7,306","3,950",107,95,4,4,4,"6,803","3,979","1,198","1,344",282,"6,273","2,439","1,771","2,063","6,387",602,540,"1,822",230,"3,193"
ualad09:Bournemouth,"82,374","30,390","11,164","19,226","42,644","6,102","20,818","8,326","3,879","5,616","2,997",196,182,6,7,1,"8,460","5,258","1,568","1,331",303,"7,068","2,884","1,800","2,384","9,340",997,817,"1,835",343,"5,348"
"ualad09:Bristol, City of","182,747","61,607","20,272","41,335","99,663","10,147","47,084","17,474","8,302","14,032","7,276",343,298,22,17,6,"21,556","13,627","3,516","3,654",759,"20,533","8,256","6,663","5,614","21,477","2,023","1,979","3,623",525,"13,327"
ualad09:Cornwall,"230,389","69,269","34,137","35,132","146,511","24,939","77,878","34,338","11,616","19,564","12,360",294,248,24,17,5,"23,158","12,304","4,748","5,052","1,054","20,242","7,217","5,869","7,156","14,609","2,396","2,255",730,948,"8,280"
ualad09:Isles of Scilly,989,336,150,186,581,107,339,174,39,86,40,0,0,0,0,0,101,62,11,21,7,34,10,12,12,72,9,8,1,10,44
ualad09:North Somerset,"88,227","27,115","12,523","14,592","56,871","9,727","31,271","12,847","5,007","8,802","4,615",103,86,8,7,2,"8,034","4,430","1,633","1,654",317,"7,736","3,016","2,361","2,359","4,241",752,672,104,284,"2,429"
ualad09:Plymouth,"109,307","34,317","13,403","20,914","66,184","8,625","33,782","13,639","5,720","8,771","5,652",129,111,5,9,4,"12,097","6,568","2,511","2,502",516,"11,551","4,502","3,392","3,657","8,806","1,171",921,"1,793",364,"4,557"
ualad09:Poole,"63,530","19,134","9,395","9,739","39,713","6,631","21,176","8,446","3,680","5,642","3,408",124,111,3,4,6,"6,075","3,416","1,180","1,145",334,"5,707","1,957","1,639","2,111","4,683",756,678,82,210,"2,957"
ualad09:South Gloucestershire,"107,538","28,554","12,301","16,253","72,913","10,518","41,495","14,812","7,196","12,570","6,917",103,91,6,6,0,"10,731","5,912","2,101","2,197",521,"10,066","3,889","2,986","3,191","6,071","1,066",907,243,279,"3,576"
ualad09:Swindon,"88,360","26,143","9,039","17,104","56,127","6,303","31,122","11,605","5,955","8,979","4,583",115,98,9,5,3,"10,291","5,620","2,125","2,098",448,"8,296","3,295","2,521","2,480","6,090",993,"1,059",38,173,"3,827"
ualad09:Torbay,"59,010","20,192","9,679","10,513","35,024","6,402","17,008","7,568","2,578","4,193","2,669",108,98,4,2,4,"5,373","2,914","1,114","1,111",234,"6,133","2,508","1,682","1,943","3,794",676,550,17,298,"2,253"
ualad09:Wiltshire,"194,194","51,845","24,608","27,237","132,246","19,564","76,653","30,824","12,779","22,338","10,712",208,188,7,9,4,"18,370","10,301","3,482","3,829",758,"17,451","6,638","5,384","5,429","10,103","1,724","1,552",36,580,"6,211"
ualad09:East Devon,"59,071","18,269","10,828","7,441","37,715","8,954","19,732","9,043","2,791","5,115","2,783",69,66,1,2,0,"4,615","2,554",877,957,227,"4,345","1,432","1,217","1,696","3,087",498,465,8,293,"1,823"
ualad09:Exeter,"49,242","16,555","6,468","10,087","27,435","3,647","13,819","5,480","2,394","3,794","2,151",81,75,5,0,1,"5,265","3,177",915,953,220,"4,623","1,742","1,405","1,476","5,252",523,420,"1,432",140,"2,737"
ualad09:Mid Devon,"32,758","8,995","4,474","4,521","21,915","3,636","12,307","5,123","1,799","3,472","1,913",40,37,0,2,1,"3,335","1,788",618,767,162,"2,597",868,849,880,"1,848",342,315,6,125,"1,060"
ualad09:North Devon,"40,001","11,846","5,920","5,926","25,775","4,657","13,672","5,952","2,000","3,588","2,132",37,32,3,2,0,"3,858","1,995",791,878,194,"3,551","1,275","1,044","1,232","2,380",421,425,4,172,"1,358"
ualad09:South Hams,"36,858","11,242","5,973","5,269","23,781","4,477","13,305","6,122","1,948","3,333","1,902",44,38,2,3,1,"3,147","1,850",570,593,134,"2,808","1,059",763,986,"1,835",282,279,6,127,"1,141"
ualad09:Teignbridge,"54,003","16,222","8,381","7,841","34,855","6,432","18,701","8,273","2,832","4,752","2,844",88,81,5,2,0,"5,125","2,745","1,031","1,062",287,"4,509","1,688","1,245","1,576","2,926",531,419,9,241,"1,726"
ualad09:Torridge,"27,986","8,402","4,127","4,275","18,003","3,348","9,866","4,610","1,352","2,329","1,575",37,33,2,2,0,"2,567","1,389",518,555,105,"2,185",827,619,739,"1,581",277,278,5,101,920
ualad09:West Devon,"22,725","6,414","3,308","3,106","15,056","2,772","8,536","3,896","1,199","2,159","1,282",28,26,0,2,0,"2,071","1,192",372,424,83,"1,649",586,448,615,"1,255",233,210,1,95,716
ualad09:Christchurch,"21,475","6,856","4,364","2,492","13,385","3,443","6,672","2,758",922,"1,850","1,142",29,28,0,1,0,"1,666",880,339,359,88,"1,575",510,402,663,"1,234",226,216,3,108,681
ualad09:East Dorset,"37,564","9,820","6,253","3,567","25,877","6,356","14,252","6,139","2,117","3,621","2,375",36,31,3,2,0,"2,622","1,388",501,569,164,"2,611",853,676,"1,082","1,867",317,293,0,160,"1,097"
ualad09:North Dorset,"28,670","8,095","4,182","3,913","19,144","3,573","10,937","4,839","1,671","2,881","1,546",41,40,0,1,0,"2,600","1,467",483,516,134,"1,993",682,593,718,"1,431",244,224,3,96,864
ualad09:Purbeck,"19,583","5,699","3,253","2,446","12,866","2,571","7,000","3,084",946,"1,800","1,170",18,17,0,1,0,"1,702",906,348,350,98,"1,575",526,402,647,"1,018",162,160,0,55,641
ualad09:West Dorset,"44,386","14,161","7,799","6,362","28,178","6,160","15,185","7,046","2,140","3,693","2,306",51,42,4,5,0,"3,657","1,952",716,820,169,"3,125","1,107",866,"1,152","2,047",324,277,6,197,"1,243"
ualad09:Weymouth and Portland,"28,535","9,138","4,198","4,940","17,606","2,963","8,938","4,035","1,331","2,095","1,477",22,17,3,1,1,"2,877","1,460",643,643,131,"2,806","1,091",818,897,"1,791",323,250,7,92,"1,119"
ualad09:Cheltenham,"50,929","17,735","6,545","11,190","28,889","4,067","15,105","6,046","2,621","4,435","2,003",58,56,1,1,0,"5,618","3,605",899,940,174,"4,041","1,419","1,211","1,411","4,305",432,360,591,105,"2,817"
ualad09:Cotswold,"36,236","10,959","5,608","5,351","23,539","4,301","13,645","5,944","2,121","3,694","1,886",57,55,1,0,1,"3,172","1,867",570,607,128,"2,364",795,636,933,"1,738",275,201,116,112,"1,034"
ualad09:Forest of Dean,"34,167","9,226","4,700","4,526","23,115","3,798","13,112","5,650","1,892","3,369","2,201",31,27,2,2,0,"3,435","1,809",635,830,161,"2,739",876,737,"1,126","1,826",362,340,18,131,975
ualad09:Gloucester,"50,363","14,695","5,685","9,010","32,073","3,792","17,155","6,242","3,081","5,095","2,737",66,58,2,4,2,"5,940","3,121","1,207","1,310",302,"5,120","1,906","1,639","1,575","3,595",673,602,119,100,"2,101"
ualad09:Stroud,"47,794","13,472","6,488","6,984","31,785","5,047","18,053","7,287","2,769","5,252","2,745",94,87,3,2,2,"4,930","2,722",889,"1,081",238,"3,661","1,345",947,"1,369","2,537",452,427,15,130,"1,513"
ualad09:Tewkesbury,"35,126","9,858","4,773","5,085","23,540","3,876","13,381","5,571","2,099","3,756","1,955",50,45,5,0,0,"3,563","1,999",711,691,162,"2,670",908,711,"1,051","1,728",348,278,7,92,"1,003"
ualad09:Mendip,"46,157","13,809","6,354","7,455","29,894","4,688","16,385","6,755","2,530","4,528","2,572",49,44,2,2,1,"4,651","2,481",887,"1,068",215,"4,121","1,483","1,315","1,323","2,454",441,351,7,146,"1,509"
ualad09:Sedgemoor,"48,801","13,844","6,954","6,890","32,163","5,260","17,466","7,507","2,670","4,603","2,686",59,45,4,8,2,"5,123","2,629","1,069","1,192",233,"4,255","1,502","1,311","1,442","2,794",476,464,11,186,"1,657"
ualad09:South Somerset,"69,501","20,491","10,263","10,228","45,531","8,140","25,196","11,041","3,824","6,556","3,775",59,52,5,1,1,"6,722","3,590","1,358","1,479",295,"5,414","1,880","1,739","1,795","3,479",608,520,8,235,"2,108"
ualad09:Taunton Deane,"46,907","14,181","6,888","7,293","29,898","4,854","16,237","6,586","2,679","4,643","2,329",31,25,2,4,0,"4,585","2,526",911,933,215,"4,191","1,529","1,300","1,362","2,828",465,356,41,162,"1,804"
ualad09:West Somerset,"15,623","5,212","3,041","2,171","9,525","2,281","4,849","2,506",594,"1,037",712,17,16,0,1,0,"1,309",713,228,299,69,"1,069",347,303,419,886,112,128,0,107,539
ualad09:Anglesey,"30,594","9,888","4,802","5,086","18,952","3,253","9,887","4,105","1,442","2,462","1,878",20,14,6,0,0,"2,783","1,249",629,758,147,"3,009","1,055",771,"1,183","1,754",364,276,47,122,945
ualad09:Gwynedd,"52,473","18,548","8,701","9,847","30,410","4,951","15,402","6,203","2,252","4,150","2,797",37,37,0,0,0,"5,131","2,302","1,109","1,465",255,"4,889","1,643","1,411","1,835","3,515",514,470,689,192,"1,650"
ualad09:Conwy,"51,177","17,297","8,748","8,549","31,033","5,952","15,459","6,602","2,329","3,804","2,724",49,46,1,1,1,"4,598","2,236",980,"1,153",229,"4,975","1,792","1,402","1,781","2,847",583,468,4,253,"1,539"
ualad09:Denbighshire,"40,546","12,714","6,147","6,567","25,711","4,247","13,095","5,293","1,996","3,421","2,385",35,32,3,0,0,"3,942","1,829",885,"1,030",198,"4,392","1,617","1,219","1,556","2,121",406,443,14,151,"1,107"
ualad09:Flintshire,"63,781","17,477","8,200","9,277","42,821","5,826","23,554","8,974","3,862","6,251","4,467",52,44,5,1,2,"6,409","3,117","1,401","1,537",354,"6,980","2,527","1,966","2,487","3,483",751,616,7,165,"1,944"
ualad09:Wrexham,"57,029","16,817","7,334","9,483","36,957","4,675","19,752","7,512","3,464","5,082","3,694",44,36,5,1,2,"6,066","2,779","1,468","1,537",282,"6,420","2,473","1,772","2,175","3,255",721,507,171,129,"1,727"
ualad09:Powys,"58,345","18,359","9,201","9,158","36,943","6,441","19,715","8,543","2,722","5,159","3,291",55,50,2,1,2,"5,487","2,822","1,049","1,363",253,"5,245","2,075","1,295","1,875","3,043",569,475,4,276,"1,719"
ualad09:Ceredigion,"31,562","10,456","4,878","5,578","18,144","3,199","9,541","4,112","1,305","2,478","1,646",41,32,4,3,2,"2,860","1,504",579,654,123,"2,503",899,630,974,"2,962",364,287,883,184,"1,244"
ualad09:Pembrokeshire,"53,122","16,392","7,978","8,414","33,848","5,777","17,534","7,473","2,656","4,401","3,004",44,40,2,1,1,"4,637","2,189",957,"1,266",225,"5,856","2,439","1,588","1,829","2,882",567,512,8,227,"1,568"
ualad09:Carmarthenshire,"78,829","23,770","11,652","12,118","50,374","7,729","26,768","10,768","4,125","6,709","5,166",51,43,4,4,0,"6,904","3,346","1,545","1,676",337,"8,922","3,561","2,409","2,952","4,685",995,805,81,352,"2,452"
ualad09:Swansea,"103,497","34,485","13,867","20,618","61,419","8,966","31,382","11,563","5,286","8,331","6,202",78,64,10,2,2,"8,901","4,510","1,985","1,971",435,"12,092","4,852","3,272","3,968","7,593","1,102",874,"1,762",306,"3,549"
ualad09:Neath Port Talbot,"60,393","18,259","8,396","9,863","38,829","5,230","20,438","7,520","3,519","4,744","4,655",58,45,4,4,5,"5,708","2,599","1,381","1,382",346,"7,395","2,743","1,881","2,771","3,305",752,618,6,201,"1,728"
ualad09:Bridgend,"58,515","16,472","7,659","8,813","38,645","5,221","20,651","7,785","3,547","5,110","4,209",52,44,5,2,1,"5,771","2,703","1,445","1,284",339,"6,950","2,569","1,940","2,441","3,398",727,593,10,165,"1,903"
ualad09:The Vale of Glamorgan,"53,505","15,851","7,057","8,794","34,717","5,005","18,596","6,992","3,224","5,034","3,346",75,61,8,6,0,"5,032","2,392","1,168","1,248",224,"6,009","2,248","1,783","1,978","2,937",619,515,6,154,"1,643"
ualad09:Cardiff,"142,557","47,141","15,436","31,705","79,593","8,550","40,427","13,857","7,365","12,272","6,933",208,189,8,6,5,"14,569","8,714","2,522","2,716",617,"15,839","6,063","4,873","4,903","15,823","1,813","1,838","3,298",426,"8,448"
"ualad09:Rhondda, Cynon, Taff","99,663","29,875","13,173","16,702","64,104","7,890","33,180","12,219","5,690","8,030","7,241",100,92,4,2,2,"9,883","4,088","2,498","2,681",616,"13,051","5,227","3,717","4,107","5,684","1,179",929,740,315,"2,521"
ualad09:Merthyr Tydfil,"24,264","6,559","3,026","3,533","16,015","1,844","8,009","2,773","1,408","1,763","2,065",22,21,0,1,0,"2,554","1,038",643,683,190,"3,586","1,504",880,"1,202","1,690",435,336,3,96,820
ualad09:Caerphilly,"74,479","20,196","9,143","11,053","50,496","6,161","26,402","9,698","4,535","6,483","5,686",47,39,6,1,1,"8,212","3,435","2,054","2,228",495,"9,674","3,890","2,643","3,141","3,787",955,752,9,195,"1,876"
ualad09:Blaenau Gwent,"30,416","9,608","4,310","5,298","19,361","2,400","9,581","3,442","1,780","2,032","2,327",18,16,1,0,1,"3,154","1,266",846,813,229,"4,208","1,695","1,075","1,438","1,447",359,252,3,91,742
ualad09:Torfaen,"38,524","11,163","5,249","5,914","25,343","3,409","13,154","4,928","2,365","3,185","2,676",28,23,1,3,1,"4,021","1,714","1,000","1,087",220,"4,731","1,758","1,308","1,665","2,018",533,392,0,101,992
ualad09:Monmouthshire,"38,233","10,592","5,515","5,077","25,711","4,312","14,686","5,780","2,423","3,989","2,494",36,33,1,2,0,"3,409","1,823",667,757,162,"3,268","1,151",910,"1,207","1,930",397,344,1,145,"1,043"
