2011 census qs113ew - household composition - households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
units,Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All categories: Household composition,One person household: Total,One person household: Aged 65 and over,One person household: Other,One family only: Total,One family only: All aged 65 and over,One family only: Married cple: Total,One family only: Married cple: No kids,One family only: Married cple: One dep child,One family only: Married cple: Two or more dep kids,One family only: Married cple: All kids non-dep,One family only: Same-sex civ part cple: Total,One family only: Same-sex civ part cple: No kids,Same-sex civ part cple: One dep child,Same-sex civ part cple: Two plus dep kids,One family only: Same-sex civ part cple: All kids non-dep,One family only: Cohabiting cple: Total,One family only: Cohabiting cple: No kids,One family only: Cohabiting cple: One dep child,One family only: Cohabiting cple: Two or more dep kids,One family only: Cohabiting cple: All kids non-dep,One family only: Lone parent: Total,One family only: Lone parent: One dep child,One family only: Lone parent: Two or more dep kids,One family only: Lone parent: All kids non-dep,Other: Total,Other: With one dep child,Other: With two or more dep kids,Other: All full-time students,Other: All aged 65 and over,Other: Other
uacounty09:Warwickshire,"231,005","67,054","29,209","37,845","149,824","22,143","83,392","32,204","14,379","22,704","14,105",249,222,17,9,1,"22,988","12,819","4,675","4,491","1,003","21,052","7,889","6,148","7,015","14,127","2,502","2,159","1,039",639,"7,788"
uacounty09:Birmingham,"410,736","131,200","47,586","83,614","232,523","22,298","116,304","32,069","20,594","42,374","21,267",450,407,18,18,7,"33,319","16,798","6,864","7,773","1,884","60,152","22,092","19,379","18,681","47,013","8,348","11,908","4,840","1,107","20,810"
uacounty09:Coventry,"128,592","40,148","15,353","24,795","75,186","8,970","37,609","12,057","7,119","11,233","7,200",87,80,3,0,4,"11,071","5,495","2,416","2,573",587,"17,449","7,130","5,266","5,053","13,258","2,059","2,065","2,823",302,"6,009"
uacounty09:Dudley,"129,867","36,652","17,112","19,540","86,313","13,015","46,216","15,947","7,989","12,537","9,743",81,69,7,3,2,"13,247","6,337","3,089","3,151",670,"13,754","4,796","3,904","5,054","6,902","1,580","1,560",17,341,"3,404"
uacounty09:Sandwell,"121,498","35,935","15,576","20,359","74,636","8,402","37,991","11,605","7,237","11,150","7,999",88,77,1,7,3,"11,738","4,839","2,909","3,233",757,"16,417","5,879","5,036","5,502","10,927","2,630","2,957",92,384,"4,864"
uacounty09:Solihull,"86,056","25,102","11,924","13,178","56,489","8,801","31,601","10,359","5,410","9,440","6,392",54,50,1,1,2,"6,714","3,301","1,444","1,576",393,"9,319","3,364","2,772","3,183","4,465",997,954,16,232,"2,266"
uacounty09:Walsall,"107,822","30,771","13,845","16,926","69,261","9,594","35,672","11,732","6,196","10,164","7,580",66,55,4,7,0,"11,030","4,663","2,576","3,106",685,"12,899","4,628","3,760","4,511","7,790","1,781","2,281",59,291,"3,378"
uacounty09:Wolverhampton,"102,177","32,876","13,166","19,710","60,631","7,503","29,725","9,376","5,431","8,381","6,537",67,57,5,3,2,"8,998","3,924","2,030","2,462",582,"14,338","5,601","4,033","4,704","8,670","1,953","2,076",286,308,"4,047"
uacounty09:Worcestershire,"239,717","67,789","31,307","36,482","158,665","24,821","87,329","34,997","14,638","23,032","14,662",220,194,14,5,7,"24,102","13,157","4,826","4,923","1,196","22,193","8,421","6,142","7,630","13,263","2,507","2,144",367,653,"7,592"
uacounty09:Bedford,"63,812","18,396","7,616","10,780","40,605","5,210","22,600","7,889","4,146","6,871","3,694",68,57,4,6,1,"5,693","3,084","1,189","1,134",286,"7,034","2,651","2,203","2,180","4,811",897,"1,021",325,150,"2,418"
uacounty09:Central Bedfordshire,"104,399","27,030","11,724","15,306","72,049","8,854","41,854","15,417","7,457","11,997","6,983",110,98,5,5,2,"11,205","5,920","2,300","2,375",610,"10,026","3,835","2,932","3,259","5,320","1,074",965,116,220,"2,945"
uacounty09:Luton,"74,293","20,319","7,171","13,148","43,985","4,307","24,575","6,799","4,560","9,019","4,197",74,64,4,4,2,"6,107","3,069","1,374","1,333",331,"8,922","3,135","2,931","2,856","9,989","1,874","2,612",907,169,"4,427"
uacounty09:Peterborough,"74,023","21,252","8,093","13,159","45,713","5,192","24,297","8,886","4,511","7,334","3,566",60,48,7,3,2,"7,866","4,061","1,764","1,677",364,"8,298","3,150","2,732","2,416","7,058","1,487","1,587",47,123,"3,814"
uacounty09:Southend-on-Sea,"74,678","24,386","10,251","14,135","44,834","6,073","22,421","7,862","3,964","6,858","3,737",86,80,4,1,1,"8,402","4,412","1,719","1,858",413,"7,852","2,809","2,248","2,795","5,458",921,905,64,303,"3,265"
uacounty09:Thurrock,"62,353","16,368","6,379","9,989","41,175","4,000","22,656","7,247","4,293","6,880","4,236",38,36,1,1,0,"7,527","3,367","1,741","1,962",457,"6,954","2,563","2,181","2,210","4,810","1,003","1,094",44,137,"2,532"
